accession	mechanism
A0A024B7W1	convertase
A0A024SC78	unassigned
A0A024SH76	unassigned
A0A044RE18	convertase
A0A068CNX1	unassigned
A0A097PTA8	convertase
A0A0B4U9L8	zymogen_protease
A0A0B5AC95	convertase
A0A0C3RR82	unassigned
A0A0D4WTV1	zymogen_protease
A0A0F7G352	unassigned
A0A0H2UNG0	unassigned
A0A0H2URK1	unassigned
A0A0H3K686	unassigned
A0A0K1YW63	unassigned
A0A0K2JNB8	zymogen_protease
A0A0N7CSQ4	unassigned
A0A0N9E2K8	zymogen_protease
A0A0R4IKU3	unassigned
A0A126GUP6	zymogen_protease
A0A142I5B9	zymogen_protease
A0A144A2H0	zymogen_protease
A0A144LUY5	unassigned
A0A1D5PPP7	zymogen_protease
A0A1D5PUP4	unassigned
A0A1D8PQ86	unassigned
A0A1D8PQB9	unassigned
A0A1I9LMX5	unassigned
A0A1L4BJ46	convertase
A0A1P8AQ95	convertase
A0A1S4F020	zymogen_protease
A0A2H1A319	unassigned
A0A2I0C265	zymogen_protease
A0A2L2DDD0	convertase
A0A2L2DDE6	convertase
A0A2Z5Z9X0	convertase
A0A384J6C4	unassigned
A0A384K116	unassigned
A0A452E9Y6	unassigned
A0A509AM03	zymogen_protease
A0A5C2A2T2	unassigned
A0A6B7FMR5	unassigned
A0A7J6KDB0	unassigned
A0AAQ4VMX2	convertase
A0FI79	unassigned
A0JNK3	zymogen_protease
A0JQ18	convertase
A0MLS4	unassigned
A0S864	unassigned
A0S865	unassigned
A1A278	unassigned
A1A4K5	convertase
A1C2U6	convertase
A1C3L3	unassigned
A2D4U1	convertase
A2D670	convertase
A2QTS4	unassigned
A2QYT9	unassigned
A2T6K4	convertase
A3R0T9	zymogen_protease
A4FV54	unassigned
A4PBQ9	zymogen_protease
A4VCL2	unassigned
A4ZFB2	unassigned
A5A6J7	unassigned
A5A6P7	unassigned
A5JUY8	unassigned
A5K3U9	zymogen_protease
A5LHG2	convertase
A5LHX3	zymogen_protease
A6BM07	unassigned
A6IBC5	unassigned
A6ND01	unassigned
A6NDB9	unassigned
A6NFA1	zymogen_protease
A6P3B2	convertase
A6XIP3	convertase
A6XMY0	unassigned
A7BHQ9	unassigned
A7YY44	unassigned
A8AZP4	unassigned
A8CL69	convertase
A8DS38	zymogen_protease
A8DYH2	unassigned
A8QL56	zymogen_protease
A8QPD9	zymogen_protease
A8T644	zymogen_protease
A8T650	zymogen_protease
