accession	mechanism
A0A023IWD9	unassigned
A0A023IWE0	unassigned
A0A023IWE1	unassigned
A0A023IWE2	unassigned
A0A023IWE3	unassigned
A0A023IWG1	unassigned
A0A023IWG2	unassigned
A0A023IWG3	unassigned
A0A023IWG4	unassigned
A0A023IWI4	unassigned
A0A023IWI5	unassigned
A0A023IWI6	unassigned
A0A023IWI8	unassigned
A0A023IWK3	unassigned
A0A023IWK4	unassigned
A0A023IWK5	unassigned
A0A023IWK6	unassigned
A0A023IWK7	unassigned
A0A023IWM4	unassigned
A0A023IWM5	unassigned
A0A023IWM6	unassigned
A0A023IWM7	unassigned
A0A023IWM8	unassigned
A0A023PMT2	negative_context
A0A023W0B6	convertase
A0A023W0C3	convertase
A0A023W0V9	convertase
A0A023W0W9	unassigned
A0A023W140	convertase
A0A023W145	unassigned
A0A023W157	convertase
A0A023W163	convertase
A0A023W168	convertase
A0A024QYT3	unassigned
A0A024SC78	unassigned
A0A024SH76	unassigned
A0A024SIB3	unassigned
A0A044RE18	convertase
A0A059J5P2	convertase
A0A059T2H4	unassigned
A0A059U8Y9	convertase
A0A059UI21	unassigned
A0A059UI30	unassigned
A0A067NRJ8	negative_context
A0A067SLB9	unassigned
A0A072TRR8	negative
A0A072UTP9	zymogen_protease
A0A072V9Z0	negative
A0A084G2W8	convertase
A0A088BP94	unassigned
A0A088MI62	convertase
A0A088MIT0	convertase
A0A088SG62	unassigned
A0A090CRQ9	unassigned
A0A096P2H4	unassigned
A0A096ZEC9	unassigned
A0A0A0MT36	negative_context
A0A0A0V633	unassigned
A0A0A0V662	unassigned
A0A0A0VBR5	unassigned
A0A0A0VBX4	unassigned
A0A0A1I6E7	convertase
A0A0A1I6N9	convertase
A0A0A7DNP6	negative
A0A0B4J1Y8	negative_context
A0A0B4JDK1	unassigned
A0A0B5A7M7	convertase
A0A0B5A7N1	convertase
A0A0B5A7N5	convertase
A0A0B5A7N8	convertase
A0A0B5A7P2	convertase
A0A0B5A8P4	convertase
A0A0B5A8P8	convertase
A0A0B5A8Q2	convertase
A0A0B5A8Q6	convertase
A0A0B5ABD9	convertase
A0A0B5ABE4	convertase
A0A0B5ABE6	convertase
A0A0B5AC86	convertase
A0A0B5AC90	convertase
A0A0B5AC95	convertase
A0A0B5AC98	convertase
A0A0B5ADT3	convertase
A0A0B5ADT9	convertase
A0A0B5ADU4	convertase
A0A0B5ADV0	convertase
A0A0C3RR82	unassigned
A0A0C4G489	unassigned
A0A0C4G4L1	convertase
A0A0C4G5K0	convertase
A0A0D1CKI0	negative
A0A0D1DPX0	negative
A0A0E3SVB8	unassigned
A0A0E3SVE7	unassigned
A0A0F7YYV0	convertase
A0A0F7YZQ7	convertase
A0A0G2K7V7	unassigned
A0A0G3F8Z3	unassigned
A0A0H3H546	unassigned
A0A0K0K1C4	negative_context
A0A0K0K1G6	negative_context
A0A0K0VF36	negative_context
A0A0K1YW63	unassigned
A0A0K8R374	negative_context
A0A0K8TUE2	unassigned
A0A0N7CSQ4	unassigned
A0A0N7FMT9	convertase
A0A0N7KBN8	unassigned
A0A0N9LWM6	convertase
A0A0P0UTI6	convertase
A0A0P0UTJ1	unassigned
A0A0R4IKU3	unassigned
A0A125S9D8	unassigned
A0A125S9D9	unassigned
A0A125S9E0	convertase
A0A125S9E1	unassigned
A0A125S9E2	convertase
A0A125S9E4	unassigned
A0A125S9E5	convertase
A0A125S9E6	convertase
A0A125S9E9	convertase
A0A125S9F0	unassigned
A0A125S9F2	convertase
A0A125S9F3	unassigned
A0A125S9F6	unassigned
A0A125S9F9	convertase
A0A125S9G0	convertase
A0A125S9G2	convertase
A0A125S9G3	convertase
A0A139GI49	unassigned
A0A141TBR6	unassigned
A0A142C197	unassigned
A0A142I730	unassigned
A0A144LUY5	unassigned
A0A144LVL3	unassigned
A0A144LVM3	unassigned
A0A146F0J0	zymogen_protease
A0A193H365	convertase
A0A193H395	convertase
A0A193H396	convertase
A0A1B0GTK4	unassigned
A0A1B0GVD1	unassigned
A0A1B7XV12	unassigned
A0A1D0BN92	unassigned
A0A1D0BNA3	convertase
A0A1D0BPK9	convertase
A0A1D0BR67	convertase
A0A1D0BR98	convertase
A0A1D0BRB0	unassigned
A0A1D0BZF5	convertase
A0A1D0BZI2	unassigned
A0A1D0BZZ2	convertase
A0A1D0C0W1	unassigned
A0A1D3IXJ5	convertase
A0A1D3IXR7	unassigned
A0A1D3IY23	unassigned
A0A1D5PPP7	zymogen_protease
A0A1D5PUP4	unassigned
A0A1D8PQ86	unassigned
A0A1D8PQB9	unassigned
A0A1E1WVR9	unassigned
A0A1I9KNP0	unassigned
A0A1L2F565	convertase
A0A1L2FZD4	unassigned
A0A1L4BJ42	convertase
A0A1M4BLT1	convertase
A0A1P8NVR4	unassigned
A0A1P8NVR5	unassigned
A0A1P8NVS2	unassigned
A0A1P8NVS3	unassigned
A0A1P8NVS8	unassigned
A0A1P8NVS9	unassigned
A0A1P8NVT3	unassigned
A0A1P8NVU0	unassigned
A0A1P8VFM2	unassigned
A0A1Q3EPD6	negative
A0A1S3PBB7	negative
A0A1S4F020	zymogen_protease
A0A1S6EK91	unassigned
A0A1S6EK92	unassigned
A0A1X9QHL1	convertase
A0A1Z4VJI9	unassigned
A0A218QWY8	unassigned
A0A219CM62	convertase
A0A219CMY0	convertase
A0A286LEZ8	unassigned
A0A2D1P890	unassigned
A0A2H1A319	unassigned
A0A2I4QAG8	unassigned
A0A2I6EDL2	unassigned
A0A2I6EDL3	convertase
A0A2I6EDL6	convertase
A0A2I6EDM2	unassigned
A0A2I6EDM5	convertase
A0A2I6EDN1	convertase
A0A2I6EDN2	unassigned
A0A2I6EDN5	unassigned
A0A2I8B346	negative
A0A2I8B352	negative
A0A2I8B353	negative
A0A2L1DGG0	unassigned
A0A2L2DDD0	convertase
A0A2L2DDE6	convertase
A0A2L2P6T1	convertase
A0A2L2P6T9	unassigned
A0A2R2JFI5	negative
A0A2Y9GHM8	unassigned
A0A2Z5Z9H5	convertase
A0A2Z5Z9X0	convertase
A0A315	unassigned
A0A318	unassigned
A0A330KUG5	convertase
A0A330KW27	convertase
A0A331	unassigned
A0A345GPN1	convertase
A0A346CED7	unassigned
A0A346CIA0	unassigned
A0A346CIB2	unassigned
A0A346CIB3	unassigned
A0A348G5V8	unassigned
A0A348G5V9	unassigned
A0A348G5W0	unassigned
A0A348G5W1	unassigned
A0A348G5W2	unassigned
